Activity Level,Weight Goal,Meal Type,Meal Description,Calories,Allergy
High,Lose,Breakfast,Avocado Toast with Poached Eggs,350,Egg
High,Lose,Breakfast,Greek Yogurt with Berries and Granola,300,Dairy
High,Lose,Breakfast,Spinach and Mushroom Omelette,400,Mushroom
High,Lose,Breakfast,Whole Grain Pancakes with Maple Syrup,450,None
High,Lose,Breakfast,Smoked Salmon Bagel with Cream Cheese,400,Fish
High,Lose,Breakfast,Chia Seed Pudding with Almond Milk,250,Dairy
High,Lose,Breakfast,Quinoa Breakfast Bowl with Fruit,350,None
High,Lose,Breakfast,Green Smoothie with Protein Powder,300,None
High,Lose,Breakfast,Egg White Veggie Scramble,300,Egg
High,Lose,Breakfast,Banana Protein Pancakes,400,None
High,Lose,Lunch,Grilled Chicken Salad with Quinoa,400,None
High,Lose,Lunch,Turkey and Avocado Wrap,450,None
High,Lose,Lunch,Salmon and Vegetable Stir-Fry,400,Fish
High,Lose,Lunch,Black Bean and Corn Salad with Chicken,350,None
High,Lose,Lunch,Spinach and Feta Stuffed Chicken Breast,400,None
High,Lose,Lunch,Tuna Nicoise Salad,350,Fish
High,Lose,Lunch,Quinoa and Vegetable Buddha Bowl,400,None
High,Lose,Lunch,Veggie and Hummus Wrap,300,None
High,Lose,Lunch,Shrimp and Mango Salad,350,Fish
High,Lose,Lunch,Chicken Caesar Salad,400,None
High,Lose,Dinner,Baked Salmon with Steamed Vegetables,450,Fish
High,Lose,Dinner,Grilled Sirloin Steak with Roasted Potatoes,500,None
High,Lose,Dinner,Spaghetti Squash with Turkey Bolognese,400,None
High,Lose,Dinner,Lemon Herb Chicken with Brown Rice,450,None
High,Lose,Dinner,Vegetarian Chili with Quinoa,350,None
High,Lose,Dinner,Tofu Stir-Fry with Mixed Vegetables,400,None
High,Lose,Dinner,Mushroom and Spinach Stuffed Bell Peppers,350,None
High,Lose,Dinner,Grilled Vegetable and Goat Cheese Polenta,400,Dairy
High,Lose,Dinner,Cauliflower Crust Pizza with Veggies,400,Dairy
Moderate,Lose,Breakfast,Scrambled Egg Whites with Spinach and Tomatoes,300,Egg
Moderate,Lose,Breakfast,Whole Wheat Toast with Peanut Butter,250,Wheat
Moderate,Lose,Breakfast,Protein Smoothie with Berries and Almond Milk,350,None
Moderate,Lose,Breakfast,Cottage Cheese with Pineapple and Walnuts,300,Dairy
Moderate,Lose,Breakfast,Apple Cinnamon Overnight Oats,300,None
Moderate,Lose,Breakfast,Greek Yogurt Parfait with Honey and Nuts,350,Dairy
Moderate,Lose,Breakfast,Banana and Almond Butter Toast,300,Nuts 
Moderate,Lose,Breakfast,Blueberry Banana Protein Pancakes,400,None
Moderate,Lose,Breakfast,Quinoa Breakfast Bowl with Almond Butter,350,Nuts 
Moderate,Lose,Breakfast,Avocado and Tomato Breakfast Sandwich,400,None
Moderate,Lose,Lunch,Grilled Chicken Caesar Salad,400,None
Moderate,Lose,Lunch,Turkey and Veggie Wrap,350,None
Moderate,Lose,Lunch,Black Bean and Quinoa Salad,350,None
Moderate,Lose,Lunch,Salmon and Asparagus Salad,400,Fish
Moderate,Lose,Lunch,Tuna Salad Stuffed Avocado,350,Fish
Moderate,Lose,Lunch,Chicken and Vegetable Stir-Fry with Brown Rice,400,None
Moderate,Lose,Lunch,Quinoa and Black Bean Stuffed Peppers,350,None
Moderate,Lose,Lunch,Shrimp and Avocado Salad,350,Fish
Moderate,Lose,Lunch,Greek Couscous Salad with Feta,350,Dairy
Moderate,Lose,Dinner,Baked Cod with Roasted Vegetables,400,Fish
Moderate,Lose,Dinner,Grilled Turkey Burgers with Sweet Potato Fries,450,None
Moderate,Lose,Dinner,Spaghetti Squash with Marinara Sauce,350,None
Moderate,Lose,Dinner,Lemon Garlic Shrimp with Quinoa,400,Fish
Moderate,Lose,Dinner,Stuffed Portobello Mushrooms with Spinach and Cheese,350,Mushroom
Moderate,Lose,Dinner,Vegetarian Lentil Curry with Brown Rice,400,None
Moderate,Lose,Dinner,Grilled Veggie Skewers with Tofu,350,None
Moderate,Lose,Dinner,Cauliflower Fried Rice with Chicken,400,None
Moderate,Lose,Dinner,Zucchini Noodles with Pesto and Cherry Tomatoes,350,None
Low,Lose,Breakfast,Yogurt and Berry Smoothie Bowl,300,Dairy
Low,Lose,Breakfast,Whole Grain Toast with Cottage Cheese,250,Dairy
Low,Lose,Breakfast,Fruit Salad with Greek Yogurt,200,Dairy
Low,Lose,Breakfast,Egg White Breakfast Burrito with Salsa,300,Egg
Low,Lose,Breakfast,Banana and Almond Milk Smoothie,250,None
Low,Lose,Breakfast,Chia Seed Pudding with Fresh Fruit,300,Dairy
Low,Lose,Breakfast,Vegetable Omelette with Spinach and Peppers,300,None
Low,Lose,Breakfast,Peanut Butter and Banana Sandwich,350,Nuts 
Low,Lose,Breakfast,Steel Cut Oats with Berries and Almonds,300,Nuts 
Low,Lose,Breakfast,Cottage Cheese Pancakes with Fruit,350,Dairy
Low,Lose,Lunch,Grilled Vegetable Salad with Balsamic Vinaigrette,300,None
Low,Lose,Lunch,Quinoa Salad with Cucumber and Tomato,300,None
Low,Lose,Lunch,Chickpea Salad with Lemon Tahini Dressing,350,None
Low,Lose,Lunch,Asian Tofu Salad with Ginger Soy Dressing,300,None
Low,Lose,Lunch,Spinach and Strawberry Salad with Poppyseed Dressing,250,None
Low,Lose,Lunch,Stuffed Bell Peppers with Ground Turkey,350,None
Low,Lose,Lunch,Cauliflower Rice Stir-Fry with Tofu,300,None
Low,Lose,Lunch,Black Bean and Corn Salad with Lime Vinaigrette,300,None
Low,Lose,Dinner,Baked Chicken Breast with Steamed Broccoli,350,None
Low,Lose,Dinner,Sautéed Shrimp with Garlic and Lemon,300,Fish
Low,Lose,Dinner,Grilled Pork Tenderloin with Roasted Vegetables,400,None
Low,Lose,Dinner,Vegetable Stir-Fry with Brown Rice,350,None
Low,Lose,Dinner,Salmon Fillet with Asparagus,400,Fish
Low,Lose,Dinner,Spaghetti Squash with Tomato Basil Sauce,300,None
Low,Lose,Dinner,Tofu and Vegetable Curry with Quinoa,350,None
Low,Lose,Dinner,Mushroom and Spinach Stuffed Chicken Breast,400,None
Low,Lose,Dinner,Grilled Portobello Mushroom Burgers,350,None
High,Gain,Breakfast,Omelette with Bacon Cheese and Avocado,500,Dairy
High,Gain,Breakfast,Banana Nut Protein Shake,400,Nuts 
High,Gain,Breakfast,Protein Pancakes with Nutella and Banana,600,None
High,Gain,Breakfast,Scrambled Eggs with Sausage and Hash Browns,550,Egg
High,Gain,Breakfast,Breakfast Burrito with Steak and Potatoes,600,None
High,Gain,Breakfast,Fruit and Nut Oatmeal with Milk,450,Nuts 
High,Gain,Breakfast,Blueberry Cream Cheese Stuffed French Toast,550,Dairy
High,Gain,Breakfast,Bagel with Cream Cheese and Smoked Salmon,500,Dairy
High,Gain,Breakfast,Peanut Butter Banana Sandwich with Honey,450,None
High,Gain,Breakfast,Egg and Bacon Breakfast Sandwich,500,Egg
High,Gain,Lunch,Beef and Bean Burrito with Rice and Cheese,600,Dairy
High,Gain,Lunch,Chicken Alfredo Pasta with Garlic Bread,700,None
